img_filename,n_rows,n_cols
00000.jpg,262,262
00001.jpg,94,94
00002.jpg,166,166
00003.jpg,124,124
00004.jpg,189,189
00005.jpg,177,177
00006.jpg,204,204
00007.jpg,471,471
00008.jpg,81,81
00009.jpg,93,93
00010.jpg,355,355
00011.jpg,143,143
00012.jpg,192,192
00013.jpg,63,63
00014.jpg,229,229
00015.jpg,268,268
00016.jpg,231,231
00017.jpg,421,421
00018.jpg,143,143
00019.jpg,686,682
00020.jpg,314,358
00021.jpg,1331,1331
00022.jpg,354,354
00023.jpg,1873,1873
00024.jpg,249,249
00025.jpg,84,84
00026.jpg,224,224
00027.jpg,219,219
00028.jpg,150,150
00029.jpg,529,529
00030.jpg,1220,1220
00031.jpg,137,137
00032.jpg,139,139
00033.jpg,1494,1494
00034.jpg,106,106
00035.jpg,112,112
00036.jpg,352,290
00037.jpg,109,109
00038.jpg,113,113
00039.jpg,147,147
00040.jpg,415,415
00041.jpg,237,237
00042.jpg,1298,1298
00043.jpg,444,444
00044.jpg,301,301
00045.jpg,981,981
00046.jpg,298,311
00047.jpg,312,312
00048.jpg,157,157
00049.jpg,51,51
00050.jpg,1457,1457
00051.jpg,170,170
00052.jpg,180,180
00053.jpg,61,61
00054.jpg,147,147
00055.jpg,151,151
00056.jpg,131,131
00057.jpg,194,194
00058.jpg,455,455
00059.jpg,167,167
00060.jpg,606,606
00061.jpg,569,602
00062.jpg,252,252
00063.jpg,1247,1247
00064.jpg,108,108
00065.jpg,750,750
00066.jpg,210,210
00067.jpg,1127,1127
00068.jpg,196,196
00069.jpg,218,218
00070.jpg,180,180
00071.jpg,255,255
00072.jpg,222,222
00073.jpg,698,698
00074.jpg,164,164
00075.jpg,895,700
00076.jpg,242,242
00077.jpg,227,227
00078.jpg,98,98
00079.jpg,124,124
00080.jpg,1413,1413
00081.jpg,83,83
00082.jpg,141,141
00083.jpg,389,389
00084.jpg,1040,1040
00085.jpg,158,158
00086.jpg,126,126
00087.jpg,204,204
00088.jpg,260,260
00089.jpg,338,322
00090.jpg,301,290
00091.jpg,201,201
00092.jpg,103,103
00093.jpg,278,278
00094.jpg,122,122
00095.jpg,107,107
00096.jpg,249,249
00097.jpg,116,116
00098.jpg,135,135
00099.jpg,61,61
00100.jpg,837,837
00101.jpg,242,242
00102.jpg,140,140
00103.jpg,179,179
00104.jpg,910,829
00105.jpg,198,198
00106.jpg,252,252
00107.jpg,285,285
00108.jpg,232,219
00109.jpg,279,279
00110.jpg,356,332
00111.jpg,1529,1529
00112.jpg,421,514
00113.jpg,377,325
00114.jpg,483,483
00115.jpg,492,492
00116.jpg,320,320
